Name|Code|Description|PrimaryEffect|SecondaryEffect|TertiaryEffect|QuaternaryEffect|Weight|Value|Version
Hanging Moss|00057f91|Harvested from Hanging Moss.|Damage Magicka|Fortify Health|Damage Magicka Regen|Fortify One Handed|0.25|1|Skyrim
Hawk Beak|000e7ebc|Collected from dead Hawks.|Restore Stamina|Resist Frost|Fortify Carry Weight|Resist Shock|0.25|15|Skyrim
Hawk Feathers|000e7ed0|Collected from dead Hawks.|Cure Disease|Fortify Light Armor|Fortify One Handed|Fortify Sneak|0.1|15|Skyrim
Hawk's Egg|xx00f1cc|Collected from Hawk nests.|Resist Magic|Damage Magicka Regen|Waterbreathing|Lingering Damage Stamina|0.5|5|Hearthfire
Histcarp|00106e18|Collected by catching Histcarp fish.|Restore Stamina|Fortify Magicka|Damage Stamina Regen|Waterbreathing|0.25|6|Skyrim
Honeycomb|000b08c5|Food. Collected from beehives.|Restore Stamina|Fortify Block|Fortify Light Armor|Ravage Stamina|1|5|Skyrim
Human Flesh|001016b3|Cannot be harvested or collected; with the Dawnguard plug-in installed, several respawning samples can be found in Volkihar Keep.|Damage Health|Paralysis|Restore Magicka|Fortify Sneak|0.25|1|Skyrim
Human Heart|000b18cd|Cannot be harvested or collected; limited number of samples available.|Damage Health|Damage Magicka|Damage Magicka Regen|Frenzy|1|0|Skyrim
Ice Wraith Teeth|0003ad6a|Collected from dead Ice Wraiths.|Weakness to Frost|Fortify Heavy Armor|Invisibility|Weakness to Fire|0.25|30|Skyrim
Imp Stool|0004da23|Harvested from Imp Stool mushrooms, found in various caves.|Damage Health|Lingering Damage Health|Paralysis|Restore Health|0.3|0|Skyrim
Jazbay Grapes|0006ac4a|Harvested from Jazbay vines, found in the volcanic tundra of Eastmarch.|Weakness to Magic|Fortify Magicka|Regenerate Magicka|Ravage Health|0.2|1|Skyrim
Juniper Berries|0005076e|Harvested from Juniper shrubs, common in The Reach.|Weakness to Fire|Fortify Marksman|Regenerate Health|Damage Stamina Regen|0.1|1|Skyrim
Large Antlers|0006bc0a|Collected from dead male Elk.|Restore Stamina|Fortify Stamina|Slow|Damage Stamina Regen|0.1|2|Skyrim
Lavender|00045c28|Harvested from Lavender, most common in Whiterun Hold.|Resist Magic|Fortify Stamina|Ravage Magicka|Fortify Conjuration|0.1|1|Skyrim
Luna Moth Wing|000727df|Collected by catching Luna Moths. Often found near flowers after dark.|Damage Magicka|Fortify Light Armor|Regenerate Health|Invisibility|0.1|5|Skyrim
Moon Sugar|000d8e3f|Cannot be collected or harvested. Can be purchased from the Khajiit Traders.|Weakness to Fire|Resist Frost|Restore Magicka|Regenerate Magicka|0.25|50|Skyrim
Mora Tapinella|000ec870|Harvested from Mora Tapinella mushrooms, found growing on dead trees.|Restore Magicka|Lingering Damage Health|Regenerate Stamina|Fortify Illusion|0.25|4|Skyrim
Mudcrab Chitin|0006bc00|Collected from dead Mudcrabs, found in or near bodies of water.|Restore Stamina|Cure Disease|Resist Poison|Resist Fire|0.25|2|Skyrim
Namira's Rot|0004da24|Harvested from Namira's Rot mushrooms, found in various caves.|Damage Magicka|Fortify Lockpicking|Fear|Regenerate Health|0.25|0|Skyrim
Nightshade|0002f44c|Harvested from Nightshade, found growing throughout Skyrim.|Damage Health|Damage Magicka Regen|Lingering Damage Stamina|Fortify Destruction|0.1|8|Skyrim
Nirnroot|00059b86|Harvested from Nirnroot, found near bodies of water throughout Skyrim.|Damage Health|Damage Stamina|Invisibility|Resist Magic|0.2|10|Skyrim
Nordic Barnacle|0007edf5|Harvested from Nordic Barnacle Clusters, found in or near water.|Damage Magicka|Waterbreathing|Regenerate Health|Fortify Pickpocket|0.2|5|Skyrim
Orange Dartwing|000bb956|Collected by catching Dragonflies found near rivers and streams below the snow line.|Restore Stamina|Ravage Magicka|Fortify Pickpocket|Lingering Damage Health|0.1|1|Skyrim
Pearl|000854fe|Cannot be harvested or collected in the original version of the game; only readily available after the Merchant perk has been unlocked. With Dragonborn, they can be harvested from Pearl Oysters in Solstheim.|Restore Stamina|Fortify Block|Restore Magicka|Resist Shock|0.1|2|Skyrim
Pine Thrush Egg|00023d6f|Harvested from bird nests in forested regions, particularly The Rift.|Restore Stamina|Fortify Lockpicking|Weakness to Poison|Resist Shock|0.5|2|Skyrim
Poison Bloom|xx0185fb|Harvested from the plant of the same name.|Damage Health|Slow|Fortify Carry Weight|Fear|0.25|5|Dawnguard
Powdered Mammoth Tusk|0006bc10|Cannot be harvested or collected; only readily available after the Merchant perk has been unlocked.|Restore Stamina|Fortify Sneak|Weakness to Fire|Fear|0.1|2|Skyrim
Purple Mountain Flower|00077e1e|Harvested from the purple variety of Mountain Flower.|Restore Stamina|Fortify Sneak|Lingering Damage Magicka|Resist Frost|0.1|2|Skyrim
Red Mountain Flower|00077e1d|Harvested from the red variety of Mountain Flower.|Restore Magicka|Ravage Magicka|Fortify Magicka|Damage Health|0.1|2|Skyrim
River Betty|00106e1a|Collected by catching River Betty fish.|Damage Health|Fortify Alteration|Slow|Fortify Carry Weight|0.25|15|Skyrim
Rock Warbler Egg|0007e8c8|Harvested from bird nests in rocky regions, in particular The Reach.|Restore Health|Fortify One Handed|Damage Stamina|Weakness to Magic|0.5|2|Skyrim
Sabre Cat Tooth|0006bc04|Collected from dead Sabre cats.|Restore Stamina|Fortify Heavy Armor|Fortify Smithing|Weakness to Poison|0.1|2|Skyrim
Salmon Roe|xx003545|Harvested from jumping Salmon.|Restore Stamina|Waterbreathing|Fortify Magicka|Regenerate Magicka|0.2|5|Hearthfire
Salt Pile|00034cdf|Food. Cannot be harvested or collected, but is commonly found in barrels and sacks.|Weakness to Magic|Fortify Restoration|Slow|Regenerate Magicka|0.2|2|Skyrim
Scaly Pholiota|0006f950|Harvested from Scaly Pholiota mushrooms, found growing on dead trees.|Weakness to Magic|Fortify Illusion|Regenerate Stamina|Fortify Carry Weight|0.25|4|Skyrim
Silverside Perch|00106e1c|Collected by catching Silverside Perch fish.|Restore Stamina|Damage Stamina Regen|Ravage Health|Resist Frost|0.25|15|Skyrim
Skeever Tail|0003ad6f|Collected from dead Skeevers.|Damage Stamina Regen|Ravage Health|Damage Health|Fortify Light Armor|0.2|3|Skyrim
Slaughterfish Egg|0007e8c5|Collected from Slaughterfish Egg Nests, found in or near water.|Resist Poison|Fortify Pickpocket|Lingering Damage Health|Fortify Stamina|0.2|3|Skyrim
Slaughterfish Scales|0003ad70|Collected from dead Slaughterfish.|Resist Frost|Lingering Damage Health|Fortify Heavy Armor|Fortify Block|0.1|3|Skyrim
Small Antlers|0006bc0b|Collected from dead female Elk.|Weakness to Poison|Fortify Restoration|Lingering Damage Stamina|Damage Health|0.1|2|Skyrim
Small Pearl|00085500|Cannot be harvested or collected in the original version of the game; only readily available after the Merchant perk has been unlocked. With Dragonborn, they can be harvested from Pearl Oysters in Solstheim.|Restore Stamina|Fortify One Handed|Fortify Restoration|Resist Frost|0.1|2|Skyrim
Snowberries|0001b3bd|Harvested from Snowberry bushes, found in snowy regions of Skyrim.|Resist Fire|Fortify Enchanting|Resist Frost|Resist Shock|0.1|4|Skyrim
Spider Egg|0009151b|Collected from spider Egg Sacs and Web Sacs.|Damage Stamina|Damage Magicka Regen|Fortify Lockpicking|Fortify Marksman|0.2|5|Skyrim
Spriggan Sap|00063b5f|Cannot be harvested or collected; best source is merchants.|Damage Magicka Regen|Fortify Enchanting|Fortify Smithing|Fortify Alteration|0.2|15|Skyrim
Swamp Fungal Pod|0007e8b7|Harvested from Swamp Fungal Pod, common in the tundra marsh of Hjaalmarch.|Resist Shock|Lingering Damage Magicka|Paralysis|Restore Health|0.25|5|Skyrim
Taproot|0003ad71|Collected from dead Spriggans.|Weakness to Magic|Fortify Illusion|Regenerate Magicka|Restore Magicka|0.5|15|Skyrim
Thistle Branch|000134aa|Harvested from Thistle.|Resist Frost|Ravage Stamina|Resist Poison|Fortify Heavy Armor|0.1|1|Skyrim
Torchbug Thorax|0004da73|Collected by catching Torchbugs. Found below the snowline after dark.|Restore Stamina|Lingering Damage Magicka|Weakness to Magic|Fortify Stamina|0.1|1|Skyrim
Troll Fat|0003ad72|Collected from dead Trolls.|Resist Poison|Fortify Two Handed|Frenzy|Damage Health|1|15|Skyrim
Tundra Cotton|0003f7f8|Harvested from Tundra Cotton, found in Whiterun Hold.|Resist Magic|Fortify Magicka|Fortify Block|Fortify Barter|0.1|1|Skyrim
Vampire Dust|0003ad76|Collected from dead Vampires.|Invisibility|Restore Magicka|Regenerate Health|Cure Disease|0.2|25|Skyrim
Void Salts|0003ad60|Collected from dead Storm Atronachs.|Weakness to Shock|Resist Magic|Damage Health|Fortify Magicka|0.2|125|Skyrim
Wheat|0004b0ba|Food. Harvested from wheat bushels, found in various farms.|Restore Health|Fortify Health|Damage Stamina Regen|Lingering Damage Magicka|0.1|5|Skyrim
White Cap|0004da22|Harvested from White Cap mushrooms, found in various caves.|Weakness to Frost|Fortify Heavy Armor|Restore Magicka|Ravage Magicka|0.3|0|Skyrim
Wisp Wrappings|0006bc0e|Collected from dead Wispmothers.|Restore Stamina|Fortify Destruction|Fortify Carry Weight|Resist Magic|0.1|2|Skyrim
Yellow Mountain Flower|xx002a78|Harvested from the yellow variety of Mountain Flower.|Resist Poison|Fortify Restoration|Fortify Health|Damage Stamina Regen|0.1|2|Dawnguard
